Index	Name	Type	Deck	Image
147	groom	Occupation	I	occi4groom
148	harvesthelper	Occupation	I	occi3harvesthelper
149	hidefarmer	Occupation	I	occi3hidefarmer
150	juggler	Occupation	I	occi4juggler
151	layabout	Occupation	I	occi1layabout
152	manservant	Occupation	I	occi1manservant
153	marketcrier	Occupation	I	occi3marketcrier
154	midwife	Occupation	I	occi4midwife
155	milkinghand	Occupation	I	occi4milkinghand
156	netfisherman	Occupation	I	occi1netfisherman
157	outrider	Occupation	I	occi4outrider
158	pigbreeder	Occupation	I	occi4pigbreeder
159	pigcatcher	Occupation	I	occi4pigcatcher
160	puppeteer	Occupation	I	occi4puppeteer
161	rancher	Occupation	I	occi4rancher
162	reedbuyer	Occupation	I	occi4reedbuyer
163	sheepwhisperer	Occupation	I	occi4sheepwhisperer
164	socialclimber	Occupation	I	occi4socialclimber
165	stonebuyer	Occupation	I	occi4stonebuyer
166	stonecarver	Occupation	I	occi1stonecarver
167	streetmusician	Occupation	I	occi4streetmusician
168	sycophant	Occupation	I	occi4sycophant
169	taster	Occupation	I	occi4taster
170	villageelder	Occupation	I	occi3villageelder
171	watercarrier	Occupation	I	occi1watercarrier
172	wellbuilder	Occupation	I	occi1wellbuilder
173	woodbuyer	Occupation	I	occi3woodbuyer
174	woodcollector	Occupation	I	occi1woodcollector
175	alms	MinorImprovement	I	iminoralms
176	animalfeed	MinorImprovement	I	iminoranimalfeed
177	bakerskitchen	MinorImprovement	I	iminorbakerskitchen
178	chickencoop	MinorImprovement	I	iminorchickencoop
179	claydeposit	MinorImprovement	I	iminorclaydeposit
180	claypath	MinorImprovement	I	iminorclaypath
181	cookingcorner	MinorImprovement	I	iminorcookingcorner
182	copse	MinorImprovement	I	iminorcopse
183	cornstorehouse	MinorImprovement	I	iminorcornstorehouse
184	fishtrap	MinorImprovement	I	iminorfishtrap
185	flagon	MinorImprovement	I	iminorflagon
186	goosepond	MinorImprovement	I	iminorgoosepond
187	graincart	MinorImprovement	I	iminorgraincart
188	guest	MinorImprovement	I	iminorguest
189	handmill	MinorImprovement	I	iminorhandmill
190	harrow	MinorImprovement	I	iminorharrow
191	holidayhouse	MinorImprovement	I	iminorholidayhouse
192	ladder	MinorImprovement	I	iminorladder
193	lasso	MinorImprovement	I	iminorlasso
194	manure	MinorImprovement	I	iminormanure
195	milkingshed	MinorImprovement	I	iminormilkingshed
196	moldboardplow	MinorImprovement	I	iminormoldboardplow
197	pavedroad	MinorImprovement	I	iminorpavedroad
198	planterbox	MinorImprovement	I	iminorplanterbox
199	punner	MinorImprovement	I	iminorpunner
200	rake	MinorImprovement	I	iminorrake
201	reedexchange	MinorImprovement	I	iminorreedexchange
202	schnapsdistillery	MinorImprovement	I	iminorschnapsdistillery
203	shepherdscrook	MinorImprovement	I	iminorshepherdscrook
204	slaughterhouse	MinorImprovement	I	iminorslaughterhouse
205	spinney	MinorImprovement	I	iminorspinney
206	strawberrypatch	MinorImprovement	I	iminorstrawberrypatch
207	strawthatchedroof	MinorImprovement	I	iminorstrawthatchedroof
208	tavern	MinorImprovement	I	iminortavern
209	threshingboard	MinorImprovement	I	iminorthreshingboard
210	villagewell	MinorImprovement	I	iminorvillagewell
211	watermill	MinorImprovement	I	iminorwatermill
212	weeklymarket	MinorImprovement	I	iminorweeklymarket
213	wildlifereserve	MinorImprovement	I	iminorwildlifereserve
214	woodcart	MinorImprovement	I	iminorwoodcart
215	woodencrane	MinorImprovement	I	iminorwoodencrane
216	woodenhutextension	MinorImprovement	I	iminorwoodenhutextension
217	woodenpath	MinorImprovement	I	iminorwoodenpath
218	acrobat	Occupation	K	occk4acrobat
219	adoptiveparents	Occupation	K	occk1adoptiveparents
220	animalbreeder	Occupation	K	occk4animalbreeder
221	animalhandler	Occupation	K	occk4animalhandler
222	animaltamer	Occupation	K	occk1animaltamer
223	animaltrainer	Occupation	K	occk4animaltrainer
224	basinmaker	Occupation	K	occk4basinmaker
225	brushwoodcollector	Occupation	K	occk3brushwoodcollector
226	cattlebreeder	Occupation	K	occk4cattlebreeder
227	clayworker	Occupation	K	occk1clayworker
228	constable	Occupation	K	occk3constable
229	countryman	Occupation	K	occk4countryman
230	educator	Occupation	K	occk4educator
231	fenceoverseer	Occupation	K	occk1fenceoverseer
232	foreman	Occupation	K	occk4foreman
233	forester	Occupation	K	occk1forester
234	framebuilder	Occupation	K	occk1framebuilder
235	housesteward	Occupation	K	occk3housesteward
236	lover	Occupation	K	occk3lover
237	magician	Occupation	K	occk4magician
238	manufacturer	Occupation	K	occk3manufacturer
239	marketwomen	Occupation	K	occk1marketwomen
240	organicfarmer	Occupation	K	occk1organicfarmer
241	perpetualstudent	Occupation	K	occk4perpetualstudent
242	pieceworker	Occupation	K	occk1pieceworker
243	pigwhisperer	Occupation	K	occk4pigwhisperer
244	plowman	Occupation	K	occk1plowman
245	resourceseller	Occupation	K	occk1resourceseller
246	schnapsdistiller	Occupation	K	occk1schnapsdistiller
247	scholar	Occupation	K	occk1scholar
248	seedseller	Occupation	K	occk3seedseller
249	serf	Occupation	K	occk4serf
250	sheepfarmer	Occupation	K	occk3sheepfarmer
251	shepherdboy	Occupation	K	occk4shepherdboy
252	slaughterman	Occupation	K	occk3slaughterman
253	smallholder	Occupation	K	occk1smallholder
254	stonebreaker	Occupation	K	occk4stonebreaker
255	storehouseclerk	Occupation	K	occk4storehouseclerk
256	storehousekeeper	Occupation	K	occk4storehousekeeper
257	tanner	Occupation	K	occk3tanner
258	tinsmith	Occupation	K	occk3tinsmith
259	travelingsalesman	Occupation	K	occk1travelingsalesman
260	veterinarian	Occupation	K	occk4veterinarian
261	weaver	Occupation	K	occk4weaver
262	wetnurse	Occupation	K	occk1wetnurse
263	woodcarver	Occupation	K	occk1woodcarver
264	wooddeliveryman	Occupation	K	occk1wooddeliveryman
265	wooddistributor	Occupation	K	occk1wooddistributor
266	acreage	MinorImprovement	K	kminoracreage
267	bakehouse	MinorImprovement	K	kminorbakehouse
268	beehive	MinorImprovement	K	kminorbeehive
269	boarbreeding	MinorImprovement	K	kminorboarbreeding
270	bookshelf	MinorImprovement	K	kminorbookshelf
271	breadpaddle	MinorImprovement	K	kminorbreadpaddle
272	brewery	MinorImprovement	K	kminorbrewery
273	broom	MinorImprovement	K	kminorbroom
274	brushwoodroof	MinorImprovement	K	kminorbrushwoodroof
275	clapper	MinorImprovement	K	kminorclapper
276	clayhutextension	MinorImprovement	K	kminorclayhutextension
277	claypit	MinorImprovement	K	kminorclaypit
278	cookinghearth	MinorImprovement	K	kminorcookinghearth
279	cornsheaf	MinorImprovement	K	kminorcornsheaf
280	crookedplow	MinorImprovement	K	kminorcrookedplow
281	duckpond	MinorImprovement	K	kminorduckpond
282	flail	MinorImprovement	K	kminorflail
283	forestpasture	MinorImprovement	K	kminorforestpasture
284	granary	MinorImprovement	K	kminorgranary
285	greenhouse	MinorImprovement	K	kminorgreenhouse
286	herbgarden	MinorImprovement	K	kminorherbgarden
287	horse	MinorImprovement	K	kminorhorse
288	housegoat	MinorImprovement	K	kminorhousegoat
289	landingnet	MinorImprovement	K	kminorlandingnet
290	liquidmanure	MinorImprovement	K	kminorliquidmanure
291	loom	MinorImprovement	K	kminorloom
292	lumber	MinorImprovement	K	kminorlumber
293	mansion	MinorImprovement	K	kminormansion
294	milkingstool	MinorImprovement	K	kminormilkingstool
295	oxteam	MinorImprovement	K	kminoroxteam
296	pelts	MinorImprovement	K	kminorpelts
297	reedhut	MinorImprovement	K	kminorreedhut
298	sawhorse	MinorImprovement	K	kminorsawhorse
299	sawmill	MinorImprovement	K	kminorsawmill
300	sleepingcorner	MinorImprovement	K	kminorsleepingcorner
301	spitroast	MinorImprovement	K	kminorspitroast
302	stonecart	MinorImprovement	K	kminorstonecart
303	stoneexchange	MinorImprovement	K	kminorstoneexchange
304	swanlake	MinorImprovement	K	kminorswanlake
305	swingplow	MinorImprovement	K	kminorswingplow
306	turnipfield	MinorImprovement	K	kminorturnipfield
307	woodenstrongbox	MinorImprovement	K	kminorwoodenstrongbox
308	yoke	MinorImprovement	K	kminoryoke
309	alternativedesigner	Occupation	G	occg1alternativedesigner_v2
310	animalfarmer	Occupation	G	occg1animalfarmer
311	animalholder	Occupation	G	occg3animalholder
312	apprentice	Occupation	G	occg3apprentice_v2
313	architect	Occupation	G	occg1architect_v4
314	artisan	Occupation	G	occg1artisan_v2
315	astronomer	Occupation	G	occg3astronomer_v2
316	auctioneer	Occupation	G	occg4auctioneer_v2
317	bakersdaughter	Occupation	G	occg3bakersdaughter_v2
318	bard	Occupation	G	occg4bard
319	businesswoman	Occupation	G	occg1businesswoman
320	carrotcakebaker	Occupation	G	occg1carrotcakebaker_v2
321	carrotfarmer	Occupation	G	occg1carrotfarmer
322	claystarter	Occupation	G	occg1claystarter
323	earlyriser	Occupation	G	occg1earlyriser_v3
324	familycounselor	Occupation	G	occg1familycounselor
325	fencehelper	Occupation	G	occg3fencehelper
326	fishermansapprentice	Occupation	G	occg3fishermansapprentice
327	fishseller	Occupation	G	occg3fishseller
328	foodcritic	Occupation	G	occg1foodcritic_v2
329	freeloader	Occupation	G	occg3freeloader_v2
330	glassblower	Occupation	G	occg3glassblower
331	glutton	Occupation	G	occg1glutton
332	grafter	Occupation	G	occg1grafter
333	grainfarmer	Occupation	G	occg1grainfarmer
334	grainlover	Occupation	G	occg3grainlover
335	grump	Occupation	G	occg3grump
336	harbormaster	Occupation	G	occg3harbormaster
337	headmaster	Occupation	G	occg4headmaster_v3
338	helper	Occupation	G	occg3helper_v2
339	hermit	Occupation	G	occg4hermit
340	hobbyist	Occupation	G	occg3hobbyist
341	hoemaker	Occupation	G	occg1hoemaker_v2
342	inventor	Occupation	G	occg1inventor
343	jobseeker	Occupation	G	occg4jobseeker
344	latebloomer	Occupation	G	occg4latebloomer
345	latesleeper	Occupation	G	occg4latesleeper_v2
346	masterbakersapprentice	Occupation	G	occg1masterbakersapprentice
347	mathematician	Occupation	G	occg4mathematician_v5
348	miner	Occupation	G	occg1miner
349	mooch	Occupation	G	occg3mooch_v2
350	oldestoccupation	Occupation	G	occg4oldestoccupation_v3
351	opportunist	Occupation	G	occg4opportunist_v2
352	pearlseeker	Occupation	G	occg1pearlseeker
353	pilgrim	Occupation	G	occg1pilgrim_v2
354	pondwatchman	Occupation	G	occg4pondwatchman_v2
355	resourcecollector	Occupation	G	occg1resourcecollector
356	ringmaster	Occupation	G	occg4ringmaster
357	seedmaster	Occupation	G	occg1seedmaster
358	singer	Occupation	G	occg1singer
359	stonedeliveryman	Occupation	G	occg3stonedeliveryman
360	stonepiler	Occupation	G	occg1stonepiler_v2
361	stonetrader	Occupation	G	occg4stonetrader_v2
362	taxcollector	Occupation	G	occg3taxcollector_v2
363	truffledigger	Occupation	G	occg4truffledigger
364	understudy	Occupation	G	occg1understudy
365	vegetarian	Occupation	G	occg1vegetarian_v2
366	villagefarmer	Occupation	G	occg3villagefarmer
367	wheedler	Occupation	G	occg1wheedler
368	wintercrafter	Occupation	G	occg1wintercrafter_v2
369	almanac	MinorImprovement	G	gminoralmanac
370	animalfarm	MinorImprovement	G	gminoranimalfarm
371	bakingfield	MinorImprovement	G	gminorbakingfield
372	barteringhut	MinorImprovement	G	gminorbarteringhut
373	beehiveoven	MinorImprovement	G	gminorbeehiveoven
374	birthstone	MinorImprovement	G	gminorbirthstone
375	bountifulharvest	MinorImprovement	G	gminorbountifulharvest_v2
376	chronicle	MinorImprovement	G	gminorchronicle_v3
377	clearcutting	MinorImprovement	G	gminorclearcutting_v3
378	corral	MinorImprovement	G	gminorcorral
379	cowbell	MinorImprovement	G	gminorcowbell
380	dunghill	MinorImprovement	G	gminordunghill_v2
381	errantoven	MinorImprovement	G	gminorerrantoven
382	extraeffort	MinorImprovement	G	gminorextraeffort
383	farmersmarket	MinorImprovement	G	gminorfarmersmarket
384	gardeningtools	MinorImprovement	G	gminorgardeningtools
385	gimlet	MinorImprovement	G	gminorgimlet_v2
386	grainmarket	MinorImprovement	G	gminorgrainmarket
387	hammer	MinorImprovement	G	gminorhammer
388	harvestfeast	MinorImprovement	G	gminorharvestfeast
389	hayloft	MinorImprovement	G	gminorhayloft_v2
390	hiredhelpers	MinorImprovement	G	gminorhiredhelpers_v3
391	holidaypresent	MinorImprovement	G	gminorholidaypresent_v2
392	horsebarn	MinorImprovement	G	gminorhorsebarn
393	irrigationcanal	MinorImprovement	G	gminorirrigationcanal
394	itinerantlaborers	MinorImprovement	G	gminoritinerantlaborers
395	magicbeans	MinorImprovement	G	gminormagicbeans
396	meatpie	MinorImprovement	G	gminormeatpie
397	migrantworkers	MinorImprovement	G	gminormigrantworkers
398	paddocks	MinorImprovement	G	gminorpaddocks
399	peltroof	MinorImprovement	G	gminorpeltroof_v3
400	pineforest	MinorImprovement	G	gminorpineforest
401	plentifulfields	MinorImprovement	G	gminorplentifulfields
402	potterswheel	MinorImprovement	G	gminorpotterswheel
403	privatemarket	MinorImprovement	G	gminorprivatemarket_v2
404	privateschool	MinorImprovement	G	gminorprivateschool
405	pulley	MinorImprovement	G	gminorpulley
406	pumpkinpie	MinorImprovement	G	gminorpumpkinpie_v2
407	reedbeds	MinorImprovement	G	gminorreedbeds_v3
408	reedsale	MinorImprovement	G	gminorreedsale
409	remodeling	MinorImprovement	G	gminorremodeling
410	sausagegrinder	MinorImprovement	G	gminorsausagegrinder
411	scythe	MinorImprovement	G	gminorscythe_v2
412	seasonalplants	MinorImprovement	G	gminorseasonalplants_v2
413	seedspreader	MinorImprovement	G	gminorseedspreader
414	sharedwall	MinorImprovement	G	gminorsharedwall
415	sheepdog	MinorImprovement	G	gminorsheepdog
416	sheepmarket	MinorImprovement	G	gminorsheepmarket_v2
417	sheepskinrug	MinorImprovement	G	gminorsheepskinrug
418	shovel	MinorImprovement	G	gminorshovel
419	sickle	MinorImprovement	G	gminorsickle
420	stonecrane	MinorImprovement	G	gminorstonecrane
421	stonecuttershall	MinorImprovement	G	gminorstonecuttershall
422	stonekitchen	MinorImprovement	G	gminorstonekitchen_v3
423	touristfarm	MinorImprovement	G	gminortouristfarm
424	treehouse	MinorImprovement	G	gminortreehouse_v2
425	vegetablescoop	MinorImprovement	G	gminorvegetablescoop
426	wintergarden	MinorImprovement	G	gminorwintergarden
427	woodenbridge	MinorImprovement	G	gminorwoodenbridge_v2
428	Amazon	Occupation	Wm	occx3Amazon_670_6
429	AnimalBuyer	Occupation	Wm	occx3AnimalBuyer_2277_8
430	ApplePicker	Occupation	Wm	occx1ApplePicker_963_6
431	BargainingBaker	Occupation	Wm	occx1BargainingBaker_501_11
432	BeeKeeper	Occupation	Wm	occx1BeeKeeper_910_13
433	Borrower	Occupation	Wm	occx1Borrower_176_3
434	BranchCollector	Occupation	Wm	occx1BranchCollector_859_10
435	BreadCarrier	Occupation	Wm	occx1BreadCarrier_1044_3
436	Chemist	Occupation	Wm	occx3Chemist_151_16
437	CloisterDweller	Occupation	Wm	occx1CloisterDweller_1067_3
438	Contractor	Occupation	Wm	occx1Contractor_2120_8
439	CovetousFarmer	Occupation	Wm	occx3CovetousFarmer_1902_9
440	Cowboy	Occupation	Wm	occx3Cowboy_705_5
441	CropRotator	Occupation	Wm	occx1CropRotator_1900_12
442	DebrisDealer	Occupation	Wm	occx3DebrisDealer_1018_7
443	Diplomat	Occupation	Wm	occx3Diplomat_897_25
444	Engineer	Occupation	Wm	occx3Engineer_731_9
445	ExpertBuilder	Occupation	Wm	occx3ExpertBuilder_563_9
446	FamilyPlanner	Occupation	Wm	occx1FamilyPlanner_646_5
447	FarmSchoolGraduate	Occupation	Wm	occx3FarmSchoolGraduate_941_19
448	FenceDealer	Occupation	Wm	occx1FenceDealer_186_6
449	FoodConnoisseur	Occupation	Wm	occx1FoodConnoisseur_367_5
450	ForestFarmer	Occupation	Wm	occx1ForestFarmer_2299_6
451	GemHunter	Occupation	Wm	occx1GemHunter_2265_26
452	Godfather	Occupation	Wm	occx3Godfather_921_10
453	HedgeMaster	Occupation	Wm	occx3HedgeMaster_1002_3
454	Heiress	Occupation	Wm	occx1Heiress_537_15
455	Herdsman	Occupation	Wm	occx1Herdsman_878_6
456	HillFarmer	Occupation	Wm	occx1HillFarmer_904_8
457	Hoarder	Occupation	Wm	occx1Hoarder_1681_5
458	HumbleFarmboy	Occupation	Wm	occx3HumbleFarmboy_237_3
459	Hunter	Occupation	Wm	occx1Hunter_1001_9
460	LadyinWaiting	Occupation	Wm	occx3LadyinWaiting_146_16
461	LivestockKeeper	Occupation	Wm	occx1LivestockKeeper_1399_16
462	Mailman	Occupation	Wm	occx3Mailman_1068_19
463	MasterCook	Occupation	Wm	occx3MasterCook_505_7
464	MasterStableman	Occupation	Wm	occx1MasterStableman_691_9
465	Minimalist	Occupation	Wm	occx3Minimalist_230_5
466	Pawnbroker	Occupation	Wm	occx1Pawnbroker_2113_9
467	Permaculturist	Occupation	Wm	occx1Permaculturist_2126_6
468	Politician	Occupation	Wm	occx1Politician_732_5
469	Remodeler	Occupation	Wm	occx1Remodeler_180_12
470	ResourceLender	Occupation	Wm	occx3ResourceLender_1065_9
471	SiloGirl	Occupation	Wm	occx3SiloGirl_756_3
472	StableDeliveryman	Occupation	Wm	occx1StableDeliveryman_1073_6
473	StoneCurator	Occupation	Wm	occx1StoneCurator_977_4
474	StorehouseMinder	Occupation	Wm	occx3StorehouseMinder_886_9
475	SundayWorker	Occupation	Wm	occx3SundayWorker_548_10
476	SunriseAdmirer	Occupation	Wm	occx1SunriseAdmirer_551_14
477	TapestryWeaver	Occupation	Wm	occx1TapestryWeaver_225_4
478	TavernKeeper	Occupation	Wm	occx1TavernKeeper_174_9
479	TileMaker	Occupation	Wm	occx3TileMaker_533_4
480	VillageFool	Occupation	Wm	occx1VillageFool_810_5
481	WheelbarrowPusher	Occupation	Wm	occx3WheelbarrowPusher_1885_11
482	WoodWorker	Occupation	Wm	occx3WoodWorker_832_4
483	Almshouse	MinorImprovement	Wm	xminorAlmshouse_655_8
484	AnimalNursery	MinorImprovement	Wm	xminorAnimalNursery_665_10
485	AppleTree	MinorImprovement	Wm	xminorAppleTree_1076_5
486	Apprenticeship	MinorImprovement	Wm	xminorApprenticeship_597_7
487	Attic	MinorImprovement	Wm	xminorAttic_416_12
488	BackDoor	MinorImprovement	Wm	xminorBackDoor_2217_8
489	BackyardWell	MinorImprovement	Wm	xminorBackyardWell_583_12
490	Birdcage	MinorImprovement	Wm	xminorBirdcage_1875_3
491	Bonfire	MinorImprovement	Wm	xminorBonfire_658_7
492	BoundaryStones	MinorImprovement	Wm	xminorBoundaryStones_637_4
493	Brazier	MinorImprovement	Wm	xminorBrazier_547_4
494	BuriedTreasure	MinorImprovement	Wm	xminorBuriedTreasure_291_7
495	CashCrop	MinorImprovement	Wm	xminorCashCrop_2714_11
496	ChangingPlans	MinorImprovement	Wm	xminorChangingPlans_1147_7
497	ClockworkMan	MinorImprovement	Wm	xminorClockworkMan_290_2
498	Cookies	MinorImprovement	Wm	xminorCookies_930_8
499	Crib	MinorImprovement	Wm	xminorCrib_354_4
500	DiamondMine	MinorImprovement	Wm	xminorDiamondMine_134_4
501	Donkey	MinorImprovement	Wm	xminorDonkey_138_9
502	Downsizing	MinorImprovement	Wm	xminorDownsizing_250_12
503	DrainedPond	MinorImprovement	Wm	xminorDrainedPond_586_6
504	EdibleRoots	MinorImprovement	Wm	xminorEdibleRoots_2212_4
505	FarmSchool	MinorImprovement	Wm	xminorFarmSchool_2630_6
506	FestivalHall	MinorImprovement	Wm	xminorFestivalHall_1858_5
507	FishHook	MinorImprovement	Wm	xminorFishHook_630_4
508	FishPond	MinorImprovement	Wm	xminorFishPond_2237_6
509	FlowerPots	MinorImprovement	Wm	xminorFlowerPots_1296_6
510	FreeRangeChickens	MinorImprovement	Wm	xminorFreeRangeChickens_191_9
511	FriendlyPastures	MinorImprovement	Wm	xminorFriendlyPastures_1843_4
512	Fruitcake	MinorImprovement	Wm	xminorFruitcake_1851_8
513	GlassblowersShop	MinorImprovement	Wm	xminorGlassblowersShop_612_8
514	GoldMedal	MinorImprovement	Wm	xminorGoldMedal_2289_7
515	GrainElevator	MinorImprovement	Wm	xminorGrainElevator_647_12
516	HomeGarden	MinorImprovement	Wm	xminorHomeGarden_869_6
517	Honeymoon	MinorImprovement	Wm	xminorHoneymoon_901_15
518	IronPlow	MinorImprovement	Wm	xminorIronPlow_268_3
519	Keys	MinorImprovement	Wm	xminorKeys_539_6
520	Kindling	MinorImprovement	Wm	xminorKindling_508_5
521	LampOil	MinorImprovement	Wm	xminorLampOil_961_3
522	MountainCave	MinorImprovement	Wm	xminorMountainCave_1100_15
